episode,timestep,reward
1849,666000,-109.3642
1851,666720,-109.3642
1853,667440,-109.3642
1855,668160,-109.3642
1857,668880,-109.3642
1859,669600,-109.3642
1861,670320,-109.3642
1863,671040,-109.3642
1865,671760,-109.3642
1867,672480,-109.3642
1869,673200,-109.3642
1871,673920,-109.3642
1873,674640,-109.3642
1875,675360,-109.3642
1877,676080,-109.3642
1879,676800,-109.3642
1881,677520,-109.3642
1883,678240,-109.3642
1885,678960,-109.3642
1887,679680,-109.3642
1889,680400,-109.3642
1891,681120,-109.3642
1893,681840,-109.3642
1895,682560,-109.3642
1897,683280,-109.3642
1899,684000,-109.3642
1901,684720,-109.3642
1903,685440,-109.3642
1905,686160,-109.3642
1907,686880,-109.3642
1909,687600,-109.3642
1911,688320,-109.3642
1913,689040,-109.3642
1915,689760,-109.3642
1917,690480,-109.3642
1919,691200,-109.3642
1921,691920,-109.3642
1923,692640,-109.3642
1925,693360,-109.3642
1927,694080,-109.3642
1929,694800,-109.3642
1931,695520,-109.3642
1933,696240,-109.3642
1935,696960,-109.3642
1937,697680,-109.3642
1939,698400,-109.3642
1941,699120,-109.3642
1943,699840,-109.3642
1945,700560,-109.3642
1947,701280,-109.3642
1949,702000,-109.3642
1951,702720,-109.3642
1953,703440,-109.3642
1955,704160,-109.3642
1957,704880,-109.3642
1959,705600,-109.3642
1961,706320,-109.3642
1963,707040,-109.3642
1965,707760,-109.3642
1967,708480,-109.3642
1969,709200,-109.3642
1971,709920,-109.3642
1973,710640,-109.3642
1975,711360,-109.3642
1977,712080,-109.3642
1979,712800,-109.3642
1981,713520,-109.3642
1983,714240,-109.3642
1985,714960,-109.3642
1987,715680,-109.3642
1989,716400,-109.3642
1991,717120,-109.3642
1993,717840,-109.3642
1995,718560,-109.3642
1997,719280,-109.3642
1999,720000,-109.3642
2001,720720,-109.3642
2003,721440,-109.3642
2005,722160,-109.3642
2007,722880,-109.3642
2009,723600,-109.3642
2011,724320,-109.3642
2013,725040,-109.3642
2015,725760,-109.3642
2017,726480,-109.3642
2019,727200,-109.3642
2021,727920,-109.3642
2023,728640,-109.3642
2025,729360,-109.3642
2027,730080,-109.3642
2029,730800,-109.3642
2031,731520,-109.3642
2033,732240,-109.3642
2035,732960,-109.3642
2037,733680,-109.3642
2039,734400,-109.3642
2041,735120,-109.3642
2043,735840,-109.3642
2045,736560,-109.3642
2047,737280,-109.3642
2049,738000,-109.3642
2051,738720,-109.3642
2053,739440,-109.3642
2055,740160,-109.3642
2057,740880,-109.3642
2059,741600,-109.3642
2061,742320,-109.3642
2063,743040,-109.3642
2065,743760,-109.3642
2067,744480,-109.3642
2069,745200,-109.3642
2071,745920,-109.3642
2073,746640,-109.3642
2075,747360,-109.3642
2077,748080,-109.3642
2079,748800,-109.3642
2081,749520,-109.3642
2083,750240,-109.3642
2085,750960,-109.3642
2087,751680,-109.3642
2089,752400,-109.3642
2091,753120,-109.3642
2093,753840,-109.3642
2095,754560,-109.3642
2097,755280,-109.3642
2099,756000,-109.3642
2101,756720,-109.3642
2103,757440,-109.3642
2105,758160,-109.3642
2107,758880,-109.3642
2109,759600,-109.3642
2111,760320,-109.3642
2113,761040,-109.3642
2115,761760,-109.3642
2117,762480,-109.3642
2119,763200,-109.3642
2121,763920,-109.3642
2123,764640,-109.3642
2125,765360,-109.3642
2127,766080,-109.3642
2129,766800,-109.3642
2131,767520,-109.3642
2133,768240,-109.3642
2135,768960,-109.3642
2137,769680,-109.3642
2139,770400,-109.3642
2141,771120,-109.3642
2143,771840,-109.3642
2145,772560,-109.3642
2147,773280,-109.3642
2149,774000,-109.3642
2151,774720,-109.3642
2153,775440,-109.3642
2155,776160,-109.3642
2157,776880,-109.3642
2159,777600,-109.3642
2161,778320,-109.3642
2163,779040,-109.3642
2165,779760,-109.3642
2167,780480,-109.3642
2169,781200,-109.3642
2171,781920,-109.3642
2173,782640,-109.3642
2175,783360,-109.3642
2177,784080,-109.3642
2179,784800,-109.3642
2181,785520,-109.3642
2183,786240,-109.3642
2185,786960,-109.3642
2187,787680,-109.3642
2189,788400,-109.3642
2191,789120,-109.3642
2193,789840,-109.3642
2195,790560,-109.3642
2197,791280,-109.3642
2199,792000,-109.3642
2201,792720,-109.3642
2203,793440,-109.3642
2205,794160,-109.3642
2207,794880,-109.3642
2209,795600,-109.3642
2211,796320,-109.3642
2213,797040,-109.3642
2215,797760,-109.3642
2217,798480,-109.3642
2219,799200,-109.3642
2221,799920,-109.3642
2223,800640,-109.3642
2225,801360,-109.3642
2227,802080,-109.3642
2229,802800,-109.3642
2231,803520,-109.3642
2233,804240,-109.3642
2235,804960,-109.3642
2237,805680,-109.3642
2239,806400,-109.3642
2241,807120,-109.3642
2243,807840,-109.3642
2245,808560,-109.3642
2247,809280,-109.3642
2249,810000,-109.3642
2251,810720,-109.3642
2253,811440,-109.3642
2255,812160,-109.3642
2257,812880,-109.3642
2259,813600,-109.3642
2261,814320,-109.3642
2263,815040,-109.3642
2265,815760,-109.3642
2267,816480,-109.3642
2269,817200,-109.3642
2271,817920,-109.3642
2273,818640,-109.3642
2275,819360,-109.3642
2277,820080,-109.3642
2279,820800,-109.3642
2281,821520,-109.3642
2283,822240,-109.3642
2285,822960,-109.3642
2287,823680,-109.3642
2289,824400,-109.3642
2291,825120,-109.3642
2293,825840,-109.3642
2295,826560,-109.3642
2297,827280,-109.3642
2299,828000,-109.3642
2301,828720,-109.3642
2303,829440,-109.3642
2305,830160,-109.3642
2307,830880,-109.3642
2309,831600,-109.3642
2311,832320,-109.3642
2313,833040,-109.3642
2315,833760,-109.3642
2317,834480,-109.3642
2319,835200,-109.3642
2321,835920,-109.3642
2323,836640,-109.3642
2325,837360,-109.3642
2327,838080,-109.3642
2329,838800,-109.3642
2331,839520,-109.3642
2333,840240,-109.3642
2335,840960,-109.3642
2337,841680,-109.3642
2339,842400,-109.3642
2341,843120,-109.3642
2343,843840,-109.3642
2345,844560,-109.3642
2347,845280,-109.3642
2349,846000,-109.3642
2351,846720,-109.3642
2353,847440,-109.3642
2355,848160,-109.3642
2357,848880,-109.3642
2359,849600,-109.3642
2361,850320,-109.3642
2363,851040,-109.3642
2365,851760,-109.3642
2367,852480,-109.3642
2369,853200,-109.3642
2371,853920,-109.3642
2373,854640,-109.3642
2375,855360,-109.3642
2377,856080,-109.3642
2379,856800,-109.3642
2381,857520,-109.3642
2383,858240,-109.3642
2385,858960,-109.3642
2387,859680,-109.3642
2389,860400,-109.3642
2391,861120,-109.3642
2393,861840,-109.3642
2395,862560,-109.3642
2397,863280,-109.3642
2399,864000,-109.3642
2401,864720,-109.3642
2403,865440,-109.3642
2405,866160,-109.3642
2407,866880,-109.3642
2409,867600,-109.3642
2411,868320,-109.3642
2413,869040,-109.3642
